conv_id,cluster
1307338,15
2746365,11
2011043,15
211412,15
1889744,16
863713,3
2757614,12
1662364,6
760602,22
1867309,14
656450,9
384897,10
1596827,21
783508,12
1634779,22
853096,0
1824527,0
2798547,10
2175396,4
1374258,15
2512752,22
187598,3
1771360,7
980317,2
2439866,2
2068341,7
841111,15
2008484,0
1934607,14
265531,22
2313905,11
861381,4
1695015,17
1836173,15
1584830,15
1915063,19
1707319,13
57066,13
2558839,0
2251492,3
2293058,13
1854289,15
1711917,15
338305,20
1069149,15
317340,5
285338,15
1388090,4
1098965,21
2518449,15
2427711,15
1886335,21
1522814,15
2306597,15
902407,7
1838492,15
2251475,2
55250,17
1978900,3
1796890,15
1831346,5
2653003,15
2246083,6
2567211,15
2190943,18
969390,15
2038177,3
1863112,15
2035614,15
1964415,0
956457,5
1293234,21
2095093,15
1888847,1
1102753,4
1041334,11
804186,12
1358459,15
1942439,23
784240,13
2873,15
2510496,21
1914218,15
714872,15
1916768,15
2295640,15
378239,19
44335,10
2069705,10
832174,9
1227412,10
868516,15
927653,3
2392758,15
2114196,15
998907,10
1676605,14
2788008,15
2121321,19
2012183,13
2131382,7
968307,15
2643692,15
1421474,19
2095520,12
1825046,15
915910,0
2216060,15
1434287,7
2504265,15
1583946,3
189873,10
1776710,15
897942,11
1768991,11
1013130,15
377078,14
1111321,2
1808013,9
1715469,15
1643021,4
1156867,15
1246496,15
2605006,15
313755,15
2246034,1
1972952,15
1522820,23
1366897,15
837865,4
2070891,11
2426225,15
998478,15
816523,0
2039212,15
2030150,4
1567393,10
2492544,8
969370,4
2536632,8
1715009,20
1991932,19
964110,15
1575205,15
1962209,6
1863369,15
1460708,15
1246938,0
963322,11
759948,2
1835512,5
1087966,23
1892005,7
267373,17
871325,20
1150441,1
969970,19
1175727,8
1181775,15
258956,15
1903435,0
927663,9
2527197,5
1798650,6
1658074,2
830845,15
2596664,7
2034283,0
1611672,15
2284409,2
2669343,3
1036103,13
1788074,1
2308807,22
1569802,8
1243930,4
1849990,3
2386433,4
2182122,15
2570302,13
1855750,0
1100134,22
1783601,15
2125285,12
2518439,4
2684252,9
1463609,2
1206257,2
1931931,11
1974576,15
2720685,12
2751303,2
1803866,13
2653066,10
1888934,4
1452526,15
1916593,9
2574080,5
1287376,10
786452,15
2690963,15
1760771,18
2402473,17
2131394,11
2419706,15
1771420,20
1844561,22
1240612,20
1487001,5
2615432,11
1890136,8
2051667,15
2557523,1
699005,9
2346347,22
2250136,15
743547,15
1607967,8
1245067,15
1974599,12
2293850,11
1920911,13
2569857,11
2729325,19
2000720,6
1284618,2
1418134,1
1871952,4
2264876,8
1952340,4
2203732,11
1938749,6
1931534,15
1688954,15
1307344,15
1095343,3
1995563,15
1807007,5
2275347,9
2032689,15
1579920,15
1520009,22
1687389,15
1552271,23
273657,22
1587587,13
1222860,11
980160,15
1505201,7
605301,22
2145992,21
2052820,5
1235244,13
438217,15
1004405,4
1376882,15
116627,15
1265658,6
2777730,15
250752,20
884049,21
832614,4
1653575,15
752499,15
854635,19
965855,15
1944413,11
235220,2
777910,19
1648932,14
2738107,22
1538232,15
187745,15
2754897,9
1521337,15
2289023,6
967379,13
1801900,7
1453226,20
2183092,15
1244049,9
1624176,15
2987175,5
2095131,15
2265059,15
932118,7
982146,4
2689663,15
2379020,23
2161278,19
1472883,13
2727201,2
2401574,11
2552610,9
399189,0
2334622,15
965864,9
1477032,17
1670873,15
859652,11
2558847,10
2567205,8
2240443,15
816284,22
2552616,3
2268736,4
1368460,18
234582,20
2040614,11
1119762,4
1027716,15
1366566,15
2414544,11
917343,22
2225630,3
2432960,20
2081707,12
2347855,9
2251406,11
6524,4
1865841,1
876422,16
1574843,0
2463181,23
848567,9
1308328,3
8678,15
1035422,15
424552,11
1976610,9
790317,15
286926,0
1708810,20
1838291,4
2176752,14
2175450,15
2368024,9
1228165,9
2063065,19
1865013,7
1243934,16
2317632,15
1658863,9
1238316,15
689730,10
336247,15
1891049,19
2602368,22
2239663,8
2401842,22
2427713,15
888704,7
1043750,14
1102738,7
1927602,15
300491,11
1783244,13
2754900,0
2213690,20
1855752,11
2458073,13
2153109,3
1934784,15
2659145,22
2673475,21
1671430,15
1027122,2
2363284,22
274295,15
2353942,1
374857,1
664773,11
1139900,15
808958,15
2560548,0
1741998,6
1992081,1
1897161,11
2024658,7
1979252,3
1542056,0
1805506,7
2527177,17
418876,8
2294078,5
322402,0
2616823,15
316387,15
1117021,15
2794551,6
1838045,3
2154935,2
1749864,22
2234744,3
360359,17
1960906,19
2339280,15
26007,19
343540,16
2393593,0
2225654,2
1916938,12
2429657,6
269193,21
314093,7
897290,1
2618538,13
2311119,9
2083261,21
265579,3
1602809,23
2653035,22
2599173,15
1112861,1
922851,21
834145,19
753654,9
1043897,11
1909082,1
1294208,15
1781580,22
350823,6
336731,16
1846756,15
411195,11
2294864,1
2454661,22
949005,21
55235,15
966376,15
725982,5
940648,18
2492554,11
1794384,11
1198659,15
1907022,15
1109719,15
2653220,15
2749449,21
1964917,9
1036091,4
1840913,9
301897,23
1500589,1
617739,8
1131893,22
2361904,10
2792156,19
351227,15
1432649,3
2627948,3
652514,23
2509485,15
2549594,4
1170444,20
1378818,22
1865428,15
1425442,15
850031,15
1785743,9
419670,15
906653,20
1865348,9
1960656,7
2317237,15
2182120,15
1035815,6
1835530,11
1348078,3
281029,12
1933355,13
797684,2
1358967,0
1247416,14
1201580,19
2305091,13
412003,20
1500101,9
8246,15
2084043,4
273220,19
2756259,12
1070404,15
2294072,19
2175332,15
1033175,9
2218884,11
621397,22
1664967,15
1639778,18
2049040,15
1348084,11
2580699,15
434756,15
2665983,23
1829024,22
1943158,20
1616431,11
2079775,22
1253060,5
2404015,18
1814586,6
2023229,10
2251476,12
1694965,15
1839415,1
1533091,15
2138951,0
2010982,22
1225431,2
2311096,23
2095043,8
1695028,15
2519541,17
2171532,12
1707321,17
2295343,21
2572220,13
2837,15
314101,20
1859985,15
2471106,1
2275442,17
2613392,5
2498031,23
786459,3
1076445,10
2022728,15
1713930,23
1824565,22
1827051,15
2688281,13
1330113,6
1775782,6
2025542,15
2105379,13
2312900,2
1948780,13
847177,15
1394703,15
1813624,20
2001559,13
2311443,0
2264855,0
2321315,15
1769706,15
916068,11
2121303,15
381782,4
2043211,3
2072408,1
61181,16
711776,18
1285778,5
228073,5
1840062,11
39766,15
416823,17
2103194,15
1826612,15
2626484,13
835856,7
2355313,4
2369728,6
1736466,15
1830979,15
2321771,13
1866911,20
400476,6
1728109,20
42727,9
1525884,3
1772028,5
2678326,21
376893,15
407605,13
2045170,15
2380917,9
1982441,10
2082755,7
277355,15
1902366,15
1152020,19
1369154,19
60383,15
1979541,22
728606,15
1783788,15
2790810,4
2040356,20
2034281,15
2165522,4
1753715,17
712169,16
2289988,6
1884813,3
1022715,21
2371472,7
2337409,15
2210998,9
2360639,5
2162587,18
353317,15
1102164,15
2754890,13
1891692,10
2146008,8
189910,10
664704,22
1239149,5
1568346,2
2095081,15
2786590,15
2225719,11
2018891,18
289176,9
1770702,3
1601895,0
2125287,23
2225647,15
1962122,15
807466,15
2070909,6
861377,12
628113,4
2036382,5
1257495,15
2755855,22
445762,14
1295656,0
1871115,22
887934,15
291460,6
2637167,11
1131897,22
185156,11
962319,15
2317193,0
1258346,15
830840,20
1036104,6
420127,15
1217808,15
2316884,6
2577182,22
1927094,5
1457850,3
1028461,18
2182147,11
1933646,13
1663706,16
1900569,22
1876073,22
761988,3
299745,5
2780846,11
1727303,9
2131387,0
1275248,4
1736380,4
950422,15
870501,7
2721698,8
306255,15
381530,8
2080401,7
754225,11
769717,18
723046,18
349170,22
1521339,18
1016535,15
2520918,0
1514280,19
814438,0
2610025,1
2806770,2
1490453,16
1800705,4
834875,22
639413,14
1215715,0
2572212,15
2344078,15
1954529,11
1924998,18
1142204,2
1058229,3
2607682,6
226777,19
1797221,23
1289170,22
2759226,18
1784958,15
2722790,0
1317760,4
1786710,0
2644216,10
2450664,20
227988,15
199138,11
2028553,0
53720,15
254129,15
1895623,6
280228,20
2104007,15
2080863,12
2647460,1
1739280,9
1846897,12
1961530,0
2287370,12
1883624,15
2599157,15
1998030,4
1024757,15
2481889,9
2552711,19
2924853,21
1981465,16
2707741,13
5008,20
429243,20
2427726,21
404212,15
1924454,0
2309885,11
2023288,17
1126881,22
2031831,4
1103029,11
1848992,15
2438671,22
1520029,5
1209199,2
1794382,15
1939018,0
2389024,20
852668,7
2558837,3
725751,23
851856,17
1115335,4
2764542,9
2495866,15
2190846,23
2759832,3
718432,15
387323,3
43449,7
758529,21
2391736,6
229850,15
2484429,3
1715472,5
2139008,15
1857529,4
2297257,16
2583326,17
957247,3
739459,15
2290277,16
2051995,7
954624,0
2044427,16
1875152,3
2568714,15
1579916,6
1797814,15
2633302,21
1189841,15
2565935,6
890676,15
312210,15
329406,15
2026550,3
2154918,23
1997209,12
1478630,8
2338024,6
940661,15
1306144,6
2032693,15
1512303,1
2022166,15
2736541,1
1982388,2
1654333,22
1761841,15
885039,20
719819,3
1269651,23
1175735,17
1001236,3
266152,5
2062609,3
1786957,19
1636805,16
2071580,15
2380904,15
1725462,8
1479527,15
2615431,15
2766475,15
1124161,15
1271319,13
1828834,8
2516155,23
1769549,23
2468372,15
1074378,15
1139896,18
2285302,15
2055231,22
285342,13
847173,15
1435939,15
189870,4
2039844,16
963754,2
1452518,11
2175365,1
698865,15
2610845,1
2626478,8
1882439,12
940659,3
1043532,9
1652658,15
1797690,15
1290545,15
1545286,15
1908965,4
2135069,15
29608,15
2303682,12
664588,15
1794731,17
820238,9
2510492,19
1829732,17
1105808,4
2504240,1
372626,15
1785842,22
347204,19
187808,13
2776177,7
61159,6
2239734,4
2564264,22
2067970,4
272515,6
2681220,15
1031944,15
1766587,14
1162414,17
44679,15
2795601,11
2439893,18
2718565,18
1215721,12
1302441,3
2035020,15
2495607,21
2442939,21
2210947,9
2863026,15
243376,22
1860230,15
2110158,1
933335,11
2352391,15
1986649,11
2517304,12
1526257,13
373034,15
2318220,8
2239842,22
378060,15
749564,15
1470933,19
1588420,15
1366576,15
1575204,15
1253063,15
431444,15
2217689,13
181546,3
1301436,13
1358953,2
2583338,15
1717248,22
2141799,0
2246138,1
1961216,2
2462270,23
891298,11
944234,18
2629117,15
1277346,18
1442524,15
1691130,15
1232902,23
2319915,16
2458495,18
1921024,3
1657512,15
2756266,2
1030253,15
1904128,21
284489,15
1162284,15
369734,11
2190920,20
2621340,15
2118878,6
1225414,0
2752815,22
817718,12
2923,7
1797688,12
228047,0
1044450,11
2547411,1
609648,6
2293064,15
1852506,16
301888,3
1429271,15
2050951,10
1101307,17
2311308,13
1224511,15
1350833,0
1803131,11
2246156,19
2022420,20
1308323,1
1193125,14
1788896,22
2570566,15
1659913,7
890654,17
2809914,8
1771438,12
795081,13
863707,3
1079420,6
2065190,9
1470152,4
1583976,14
1126865,20
1855589,15
2287572,20
189917,10
2583359,15
299752,9
2620072,15
1795757,1
38951,20
853,8
810928,15
2034237,0
8241,10
1767699,15
1021778,11
1691146,15
2054075,13
1920953,6
926492,15
1406401,16
1840153,15
1943088,15
370268,15
2293856,15
960806,13
1906792,15
189309,13
412805,8
1691142,21
965862,9
2538272,11
1302431,11
1217757,15
2639853,2
2605003,20
2653227,18
1165914,21
1162408,4
2198168,4
957411,20
2509482,15
1699006,8
994567,20
2153112,23
2582661,15
2281649,3
1742964,18
901653,15
2458074,19
1770707,15
1598529,19
826972,15
