conv_id,intent,should_escalate,escalation_reason,unsure,notes,labelled_at
2942695,playback_technical,no,none,False,,2026-09-15T11:59:19+00:00
552673,account_access,no,none,False,,2026-09-15T12:02:47+00:00
490759,dm_followup,yes,high_frustration,False,,2026-09-15T12:03:32+00:00
1698050,account_access,no,none,False,,2026-09-15T12:03:58+00:00
466824,content_catalog,no,none,False,,2026-09-15T12:05:55+00:00
450893,content_catalog,no,none,False,,2026-09-15T12:06:02+00:00
694626,billing_subscription,yes,payment_dispute,False,,2026-09-15T12:06:28+00:00
534619,content_catalog,no,none,False,,2026-09-15T12:07:17+00:00
620378,content_catalog,no,none,False,,2026-09-15T12:08:09+00:00
669353,account_security,yes,account_security,False,,2026-09-15T12:17:32+00:00
699533,feature_feedback,yes,needs_investigation,False,,2026-09-15T12:19:35+00:00
141134,billing_subscription,no,none,False,,2026-09-15T12:28:10+00:00
565386,billing_subscription,no,none,False,,2026-09-15T12:28:28+00:00
507415,dm_followup,no,none,False,,2026-09-15T12:29:11+00:00
2963327,playback_technical,no,none,False,,2026-09-15T12:29:30+00:00
133935,thanks_resolved,no,none,False,,2026-09-15T12:29:58+00:00
568966,playback_technical,no,none,False,,2026-09-15T12:30:13+00:00
468342,feature_feedback,no,none,False,,2026-09-15T12:30:40+00:00
2848290,feature_feedback,no,none,False,,2026-09-15T12:30:57+00:00
150671,dm_followup,no,none,False,,2026-09-15T12:31:13+00:00
1778457,billing_subscription,yes,payment_dispute,False,,2026-09-15T12:32:05+00:00
1272289,billing_subscription,no,none,False,,2026-09-15T12:32:32+00:00
102225,billing_subscription,no,none,False,,2026-09-15T12:34:10+00:00
639943,account_access,yes,privacy_legal,False,,2026-09-15T12:34:41+00:00
115232,playback_technical,no,none,False,,2026-09-15T12:35:00+00:00
25413,billing_subscription,no,none,False,,2026-09-15T12:35:16+00:00
438396,playback_technical,no,none,False,,2026-09-15T12:36:29+00:00
496128,account_security,yes,account_security,False,,2026-09-15T12:36:48+00:00
699499,billing_subscription,yes,payment_dispute,False,,2026-09-15T12:37:04+00:00
2920779,playback_technical,no,none,False,,2026-09-15T12:37:41+00:00
93867,playback_technical,no,none,False,,2026-09-15T12:38:00+00:00
468349,account_security,yes,account_security,False,,2026-09-15T12:39:49+00:00
552696,account_access,no,none,False,,2026-09-15T12:42:00+00:00
576198,feature_feedback,no,none,False,,2026-09-15T12:44:08+00:00
2913816,playback_technical,no,none,False,,2026-09-15T12:44:21+00:00
506012,billing_subscription,yes,payment_dispute,False,,2026-09-15T12:44:36+00:00
2921970,feature_feedback,no,none,False,,2026-09-15T12:44:56+00:00
2929236,billing_subscription,yes,payment_dispute,False,,2026-09-15T12:45:53+00:00
511827,feature_feedback,no,none,False,,2026-09-15T12:46:57+00:00
668717,content_catalog,no,none,False,,2026-09-15T12:48:03+00:00
