item_id,context,customer_text,reply
r001,"Customer: Can @user add lil peeps music so my premium is worth or nah?
SpotifyCares: Hey there! We’d love to have all of his stuff available, but we have some info about content here: <url>",It'd be cool to at least be able to find local files on mobile,We can see how that’d be useful! Suggest it in our Community where you can get support from other fans: <url>
r002,,"@user DM me, I have a customer support question!","Hey there! We can't send a DM, but you can shoot us one anytime by clicking on the link below"
r003,"Customer: Listening to podcasts, normal playback for several minutes before jumping to the next track. Tried reinstall, no change. Premium account.
SpotifyCares: Hi Rachel! The cavalry's here. What device, operating system, and Spotify version are you using? We'll see what we can suggest
Customer: iPhone 7s plus, iOS 11.1.1, Spotify updated this morning to 8.4.28.1104. Experiencing both using Bluetooth in my Toyota Corolla and played directly on device.
SpotifyCares: Thanks. Can you try restarting your device, then log out and back in? Let us know how it goes",Seemed to be okay for a longer duration but still skips ahead.,"This is to ensure your Spotify app and devices are running in tip-top condition and any more than the limit might affect that. Not to worry, we'll make sure your feedback's passed on to the right team"
r004,Customer: Keep the flow with ad-free music. Premium is just 0.99 CAD for 3 months. <url>,@user Why can’t I play my welcome mix at home ?,No worries. Just let us know if we can help with anything else. <url>
r005,,Its so annoying that you cant block ppl from following you on @user. A request that loads of ppl have complained about for years and still no change.,Hey - we hear you! It’s a common request. Be sure to add your support to the idea in our Community: <url>
r006,,Hi . I just noticed that I all of a sudden am on the premium family subscription? How? it might have something to do with the fact that my account was being streamed from an unfamiliar device earlier this month. Can u switch me back to 9.99/mo,"Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: <url>"
r007,,@user there's just one album from legendary Karate <url> WHY?,Hey Sophia! Can you tell us what's exactly happening? We'd like to help out
r008,,hi! I just availed your promo 3 months for 9 Philippine peso but I was charged 129 pesos instead. Is this a scam?? I can DM the reference number <url>,Hey there! Can you DM us your account's email address? We'll have a look
r009,,Someone hacked my Spotify account of 5+ years and replaced all my saved songs with Dutch grime and xxxtentacion songs...uhmmm help? @user,Hey! We're here to help. Can you DM us your account's email address? We'll take a look under the hood 🔍
r010,"Customer: .@user You NEED to work on your Discover algorithm...constantly listening to jazz covers of Radiohead songs does NOT mean I want to hear *reggae* covers of Radiohead songs!!!
SpotifyCares: Hey Bobby. Discover Weekly is based on what you, and others like you, are listening to. Hopefully it’s more in tune with your tastes next week!",Offended by the insinuation,"Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: <url>"
r011,,"I'm pretty sure the project ""Here Be Dragons"" by the Kilimanjaro Darkjazz Ensemble got messed up over a month ago and it still hasn't been fixed. The tracks under that project in Spotify aren't actually the same tracks. <url>","Got it. It's not yet possible to adjust these, but you can help make it happen by showing your support at <url>"
r012,,"urgh, is there some way to get @user to stop recommending finnish music in discover weekly and release radar?","Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: <url>"
r013,,@user You guys have the worst user interface on pc and mobile. You can't find your way to a specific album or song without having to dig through all the folders. I listen to pretty much the same songs all the time but it still takes like 6 clicks just to play a song.,We've just replied to your DM. Let's continue chatting there
r014,"Customer: Met Premium sla je onbeperkt nummers over. Geniet nu 3 maanden voor slechts €0,99. <url>
Customer: Misleidende reclame
SpotifyCares: Hey! We can help out in English via Twitter, but we also have Dutch support via email at <url>","Misleidende reclame in Nederlandse taal, antwoord in Engels....nog meer verwarring en doorlinken??","Hey! Sorry for the confusion. We can help in English here, but for Dutch support please email <url>. If you need account-specific help, send us a DM!"
r015,,hi. Trying to cancel. Wont accept my email when I ask for a password reset says log in with fb. When I do that it says I'm on free. I am definitely paying and receiving premium. Please help,"Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: <url>"
r016,,"hey im trying to remove a few of my old releases, they are on discontinued labels. But i no longer have contact with the people running it. How would i do this?","Hey! For removing releases, our Artist Support team is the right place to go. You can reach out to them here: <url>"
r017,Customer: 3 months of Premium is just $0.99. Play music offline wherever you go. <url>,@user I have Spotify premium -it won't work on phone just iPad. Very annoying! I've contacted you many times - no resolution.,"Hey! Sorry to hear that. Since you've reached out before, can you DM us the email address you used on the contact form? We'll take a look backstage."
r018,,@user Do you ever reply to emails? Been waiting 4 days for reply,"Hey, sorry for the delay. Can you DM us your account's username or email address? We'll take a look backstage"
r019,"Customer: Hey, I can't buy premium :(","Each time I click on ""Pay with paypal"" it get me back to the offer page :/","Hey Lindsey! We have several payment options. To find one that works for you, you can check out: <url>"
r020,,"Hey @user, can I block certain artists? I don't want to listen to artists who are continuously violent to women.","Hey! We hear you. While we can't block artists just yet, you can show your support for this idea in our Community: <url>"
r021,,@user My account has been hacked - what to do?,Hey there! Can you DM us your account's username or email address? We'll see what we can suggest
r022,,why is acid rap not on @user??? 🙃 lil chano pls @user,"Hey! We’d love to have all of his stuff available, but we have some info about content here: <url>"
r023,,@user I'm a student who who already has hulu at the No Commercials Plan @ $11.99/mos. How can I take advantage of the Premium Spotify offer for students where it's included with the basic Hulu package w/out interfering with my current Hulu package?,"Yep! You should be able to get this bundle with the info above. Once your student details are verified, you'll be able to link your Hulu"
r024,"Customer: why did you delete all the songs in 4am comedown 😭 why didn’t you just rename it 😭 why are there only 50 songs in the playlist 😭 <url>
SpotifyCares: Hey there! Can you give us more info on what's happening exactly? Can you send us a link to the playlist? We'll see what we can suggest",The playlist used to be called ‘4am Comedown’ but you changed the name to ‘The Wind Down’ (lol) but all the songs from 4am Comedown have disappeared and now there are only 50 new songs 😭 did you remove all the songs from the 4am comedown’ playlist 😭 I didn’t get to save them 😭,"Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: <url>"
r025,,@user what's it called when you take someone's money and don't provide service? Cause you'd be on my case if I didn't pay my monthly bills so why can you not give me what I paid for,"Hi, sorry to hear that! This sounds like it needs a closer look. Could you send us a DM with your account details? We'll keep an eye out for your reply"
r026,,@user i have recovered my account ! thank you very much to Karl for the very quick support 💓,"Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: <url>"
r027,"Customer: Remember that time @user spit this Christmas classic? The official version is finally here. <url> <url>
Customer: How come I can no longer share directly from my app to Twitter or Facebook?
SpotifyCares: Hey Leyla! Help's here. Could you let us know your device, operating system, and Spotify version? A screenshot of what's happening whilst trying to share would be helpful too /Q",Ok! That's a lotta work... it will take me a few.,"No rush at all! Take your time. Once you have those details, feel free to send them over via DM and we'll take a look. We're just a tweet away if you need anything else 💚"
r028,,"@user so shitty that I can’t get into my account, the reset link won’t send to my email. 😒",Hey! That doesn't sound right. Can you DM us your account's email address or username? We'll take a look backstage
r029,"Customer: Is there a way I can stop Spotify from making a radio for every single thing that I play? Like I'll go to click on my playlist and I'm like wait this isn't on my playlist. And then I realise oh shit fam it's a radio
SpotifyCares: Hey there! Are you currently on Free or Premium? Also, are you hearing the different artists in between tracks or at the end of the playlist? We'll check things out for you
Customer: I’m on free because premium cost money and like I listen to a playlist with numerous artists and then it creates a radio for it which confuses me because I don’t read which one is which.
SpotifyCares: Thanks. We're afraid Suggested Tracks will play when listening to an album or playlist as it's part of our Free service: <url> You can check out <url> if you haven't had Premium before. Give us a shout if there's anything else",Okay yep sorry but I explained myself poorly. After listening to a playlist it will create a radio for that playlist. That radio plays other artists and tracks. So I’m wondering if I can delete those radios. I hope that’s better,"No worries! You can delete those radios by long-pressing the playlist in your Library and selecting Remove. If you're still seeing them, DM us your account email so we can check backstage. <url>"
r030,"Customer: where is reputation?
SpotifyCares: Hey Zach! Taylor Swift's 'Reputation' isn't available to stream just yet! For now, check out the singles: <url>",when will it be available ??,"We don't have more info right now. However, we'll let the right folks know it's something you'd like to see"
r031,,@user I'm trying to cancel my premium but according to my account I don't have it but on my app it says I do. Help? <url>,Hey there! Help's here. Can you DM us your account's email address? We'll take a look backstage
r032,,I was listening to music all of a sudden I connected to a device I've never seen before and the songs are changing live on my phone app. Is my account compromised?,"Hey! That sounds worrying. Please check out <url> for steps to secure your account. If you need more help, send us your username via DM so we can take a closer look."
r033,,"my old Facebook account was hacked and I got locked out of it, that Spotify premium was linked to. Is there a way to transfer the membership to my new account?",Hey! We're here to help. Can you DM us the email addresses linked to both your old and new Spotify accounts? We'll take a look backstage.
r034,,"In @user , if the about:config flag ""media.autoplay.enabled"" is set to false then the @user webplayer will NEVER work This flag is important to stop nasty web sites that bombard users with videos or ad-videos the user has no control over Please fix, I refuse to disable flag","Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: <url>"
r035,"Customer: you offered me a prepay $99 for a year of premium promo, but when I visit the link there is no where to pay... help? :)
SpotifyCares: Hey Charlie, help's arrived! Does signing up through an incognito/private browser help? You can sign up for the offer here: <url> Let us know how it goes",That link worked! Thanks!,"Awesome! We're glad that did the trick. If you ever need help with anything else, you know where to find us"
r036,"Customer: hi, how can I download the artwork with the Spotify code from my phone? I could do it using the website <url> before, but it's not working anymore, now only downloads de code.
SpotifyCares: Hi Ben, help's here! Does using a different browser help? You might also want to try using an incognito window. Let us know","I tried w/ a different browser, but I can't, not sure what's wrong. This is all what I get using the website. I like to share the artwork w/ Spotify code on my social media, I don't think I'm sharing again until you guys solve this ;( <url>","We're happy to hear everything's up and running now. If you need anything else, just give us a shout. <url> 🙂"
r037,,"@user I am paying the full amount each month but I am a student with a NUS card, am I able to have this applied please? #student#music","Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: <url>"
r038,,"I signed up for a 60-day premium trial and was supposed to get 125 Gold Star code for Starbucks, but the code did not work. Can you send a working code please?","Hey! In 3 days after signing up, you should receive an email containing a Star Code you can redeem at <url>"
r039,,thank u for not accepting my credit card :) i even had to make a second account and try again and nothing works. i am so annoyed right now. help.,Hey John! Help's here. Can you DM us your account's username or email address? We'll take a look under the hood
r040,Customer: My @user Discover Weekly playlist is full of J-Pop. What have I been listening to recently to cause that?!,"@user In it's defence, I did enjoy the tracks 🤔","Glad you enjoyed them! Discover Weekly is based on your recent listening, so it's likely picking up on those new vibes. Keep exploring!"
r041,,"I can't log into Spotify via my Facebook account - ""You don't have an account set up with these Facebook credentials. Sign up for one now."" I try to sign up for one, but my email is already used. I need to have my email and/or Facebook account removed.","Hey David! Do you get an error message when trying to log in? Also, can you DM us your Facebook email address? We'll take a look"
r042,,Thumbs up for excellent #CustomerService 👍| @user #spotify,"Aww, thanks for the kind words! We're so happy to hear you're happy with our service. Have a great day! <url>"
r043,,I keep getting notifications on my phone when I listen to Spotify on my TV. I have turned notifications off but I still get them. How do I stop this?,Hey! Sorry about that. Can you DM us your account's email or username? We'll take a look backstage to see what's going on.
r044,Customer: Zero ads. All music. Get 3 months Premium for ₱9. <url>,@user Hi! I sent a DM,Hey! We've just sent you a bit more info over DM. We'll carry on helping out there
r045,"Customer: just got super buggy after the last update. Can't play any songs from album-only view #PleaseFixItQuickly 💚💚💚 #ITurnedItOffAndOnAlready
SpotifyCares: Hey! Could you let us know the device/OS you're using? Keep us posted
Customer: Hi! I am using Spotify v1.0.68.407.g6864aaaf on macOS Sierra 10.12.6 - it happens when I click on an artist and select a specific album to play a specific song from (it doesn't play at all).",It seems that it works again now. I was previously streaming music while connected to the university network with an ethernet cable. Now outside. Thanks for the quick reply guys 🙂,No worries. We've just replied to your DM. Check it out. Let's carry on chatting there
r046,,@user mau nanya promo yg 3 bulan 50k itu kalo bayar pake XL ada minimum pulsa gak ya? krn pulsa saya pas 50k tp pas udh masukkin pin katanya saldonya kurang. <url>,"Hey! We can help out in English via Twitter, but we also have Indonesian support via email at <url>"
r047,,@user hey guys I got an idea for a feature! Can you put on their to show us how many times we have listened to a certain song? It could really help when it comes to clearing up playlists and more. Thanks!,Hmm. Could you send us your account's username or email address via DM? We'll take a look backstage
r048,"Customer: None of my saved albums will play... Have had these kind of issues for weeks now.
SpotifyCares: Hey there, we'd love to help! Are you getting any error messages? It would help if you can send us a screenshot",Is DM alright?,Sure thing! You can send us a DM anytime. You can click the button under this tweet to do so 🙂
r049,"Customer: When you want to listen to a single artist's album &amp; @user starts slipping in other artists/songs 😡who does it think it is, @user? I buy premium Spotify specifically to avoid this! #spotify #music <url>
SpotifyCares: Got it. Just to clarify, are you getting suggested tracks in the middle of listening to the album, or just at the end of the album? We'll be on the lookout for your reply","I usually play the albums on shuffle so not sure, but I've only recently started having this problem. Normally even after all the songs have shuffled through, the album just replays.","Hey Sara! We can see how that’d be useful. You can vote for the official idea here: <url> If there's anything else, just give us a shout"
r050,,@user whym'st is there no scroll bar on ios smh,Hey! Could you let us know the device/OS you're using? We'll see what we can suggest
r051,,can you put tere mere by amaal maalik on spotify,Hey! We’ll have it available to you as soon as it's available to us! <url>
r052,"Customer: all my ads are in German how do I fix this?
SpotifyCares: Hey Kalie, we'd love to look into this for you. Can you send us your account's username/email address? We'll check backstage",My username us kalie.filice the email is __email__,"Thanks. We'd suggest deleting your previous tweets for security, as they contain your private info. Can you DM them to us instead?"
r053,"Customer: Why has my app deleted all my downloaded songs today? 😖😭 This was the exact reason I switched from Apple Music... ¯\_(ツ)_/¯ 😑
SpotifyCares: Hey Liam, sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at <url> They should help with this",Thank you I’ll have a look,"Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: <url>"
r054,"Customer: I wouldn't have to ask this all the time if @user would reconfigure my Discover Weekly to include anything decent. <url>
SpotifyCares: Hey Marky! To keep Discover Weekly fresh, keep listening to more of your favourite tunes. This will mix things up","I'm giving it all she's got, cap'n!",Love the energy! Keep those playlists going and we hope your Discover Weekly starts hitting the spot soon. Let us know if you need anything else!
r055,"Customer: I can’t tap my Playlists option. It only shows when I swipe down. <url>
SpotifyCares: Hey Sonya, we're here to help! Can you let us know your device, operating system, and Spotify version? We'll see what we can suggest
Customer: IP7 plus, IOS 11, Latest Spotify version
SpotifyCares: Thanks! Can you try logging out, restarting your phone, and logging back in? Any better?",Worked 🤙🏾 Thanks!,"Awesome! We're glad that did the trick. If you ever need help with anything else, you know where to find us"
r056,"Customer: Signed up for 1 yr premium, still showing it's going to charge for monthly on my account. Can you fix or explain? Thanks!
SpotifyCares: Hey Marin! We can confirm you've successfully subscribed to the offer for 12 months for $99. Your subscription won't expire until the 17th of December, 2018. When your subscription expires, your account will then revert back to the monthly Premium billing. Hope this helps",That really does - thank you!,You're welcome! Let us know if you ever need us again. We'd be... <url> 💚
r057,,"@user pleeeeease open in Kenya. Guy's are already accessing Spotify via VPN anyways, just the payment module is off. ASAP","Hey there! We're still not available in Kenya yet, but we're launching in new countries as often as possible. We'll let our team know you're keeping an eye on this!"
r058,,hey @user you gonna release my most listened songs for 2017 soon? cause I gotta know if I was more emo than last year,"Hey there! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see"
r059,Customer: 3 months of Premium is just $0.99. Play music offline wherever you go. <url>,@user Any deals for customers already on Premium? Maybe a student discount?,"Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: <url>"
r060,"Customer: You gotta love @user ads <url>
SpotifyCares: Hey there, help's here! Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted
Customer: That doesnt fix, it has been doing it on the web version and the app for awhile. The ad lengths are random but this is the longest ive seen.
SpotifyCares: We see. Could you try a quick reinstall fo the app for us? Just follow the steps here: <url> Let us know if this helps",I have reinstalled but I am still getting very long ads,"We appreciate the heads-up. Do you have any active firewall/antivirus programs? If so, could you try temporarily disabling them?"
