item_id,conv_id,system
r001,2881639,agent
r002,649927,agent
r003,494221,simple
r004,2816727,simple
r005,2972087,agent
r006,2855899,trivial
r007,2520080,simple
r008,486954,simple
r009,2866608,agent
r010,2902806,trivial
r011,2545282,simple
r012,467609,trivial
r013,2201042,simple
r014,2577745,agent
r015,562460,trivial
r016,2699550,agent
r017,23273,agent
r018,2853010,agent
r019,647125,simple
r020,123472,agent
r021,565413,simple
r022,639958,agent
r023,2831206,simple
r024,689528,trivial
r025,649912,agent
r026,2249496,trivial
r027,2948888,agent
r028,2883730,agent
r029,2933218,agent
r030,2866635,simple
r031,2603339,agent
r032,2859063,agent
r033,654574,agent
r034,155383,trivial
r035,513059,agent
r036,2953014,simple
r037,689585,trivial
r038,438394,simple
r039,649883,simple
r040,620370,agent
r041,2961989,simple
r042,481118,agent
r043,497721,agent
r044,83706,agent
r045,171094,simple
r046,490763,simple
r047,2865473,simple
r048,2942685,agent
r049,2864071,simple
r050,1843933,agent
r051,642106,agent
r052,492382,agent
r053,2959326,trivial
r054,2837833,agent
r055,654576,agent
r056,500933,simple
r057,653104,agent
r058,599480,agent
r059,115286,trivial
r060,2913812,simple
