item_id,overall,hallucination,notes,rated_at
r001,3,no,,2026-09-15T14:23:19+00:00
r002,4,no,,2026-09-15T14:24:26+00:00
r003,2,yes,,2026-09-15T14:24:53+00:00
r004,2,yes,,2026-09-15T14:25:12+00:00
r005,4,no,,2026-09-15T14:25:35+00:00
r006,1,yes,,2026-09-15T14:25:51+00:00
r007,2,yes,,2026-09-15T14:26:08+00:00
r008,4,no,,2026-09-15T14:26:24+00:00
r009,4,no,,2026-09-15T14:26:41+00:00
r010,2,yes,,2026-09-15T14:26:59+00:00
r011,2,yes,,2026-09-15T14:27:17+00:00
r012,2,yes,,2026-09-15T14:27:33+00:00
r013,2,yes,,2026-09-15T14:28:14+00:00
r014,5,no,,2026-09-15T14:28:20+00:00
r015,1,yes,,2026-09-15T14:28:48+00:00
r016,5,no,,2026-09-15T14:28:55+00:00
r017,1,yes,,2026-09-15T14:29:18+00:00
r018,4,no,,2026-09-15T14:33:41+00:00
r019,3,no,,2026-09-15T14:34:24+00:00
r020,4,no,,2026-09-15T14:35:01+00:00
r021,4,no,,2026-09-15T14:35:23+00:00
r022,4,no,,2026-09-15T14:39:43+00:00
r023,4,yes,,2026-09-15T14:39:47+00:00
r024,2,yes,,2026-09-15T14:40:01+00:00
r025,4,no,,2026-09-15T14:40:05+00:00
r026,1,yes,,2026-09-15T14:40:08+00:00
r027,4,no,,2026-09-15T14:40:21+00:00
r028,4,no,,2026-09-15T14:40:26+00:00
r029,2,yes,,2026-09-15T14:40:30+00:00
r030,4,no,,2026-09-15T14:40:39+00:00
r031,4,no,,2026-09-15T14:40:43+00:00
r032,4,no,,2026-09-15T14:40:50+00:00
r033,4,no,,2026-09-15T14:40:52+00:00
r034,2,yes,,2026-09-15T14:40:56+00:00
r035,5,no,,2026-09-15T14:40:59+00:00
r036,1,yes,,2026-09-15T14:41:03+00:00
r037,2,yes,,2026-09-15T14:41:08+00:00
r038,2,yes,,2026-09-15T14:41:12+00:00
r039,4,no,,2026-09-15T14:41:16+00:00
r040,5,no,,2026-09-15T14:41:18+00:00
r041,4,no,,2026-09-15T14:41:21+00:00
r042,5,no,,2026-09-15T14:41:24+00:00
r043,4,no,,2026-09-15T14:41:27+00:00
r044,4,no,,2026-09-15T14:41:32+00:00
r045,2,yes,,2026-09-15T14:41:36+00:00
r046,4,no,,2026-09-15T14:41:39+00:00
r047,2,no,,2026-09-15T14:41:41+00:00
r048,5,no,,2026-09-15T14:41:44+00:00
r049,2,yes,,2026-09-15T14:41:49+00:00
r050,4,no,,2026-09-15T14:41:52+00:00
r051,4,no,,2026-09-15T14:42:30+00:00
r052,5,no,,2026-09-15T14:42:32+00:00
r053,1,yes,,2026-09-15T14:42:34+00:00
r054,5,no,,2026-09-15T14:42:38+00:00
r055,5,no,,2026-09-15T14:42:41+00:00
r056,5,no,,2026-09-15T14:42:44+00:00
r057,4,no,,2026-09-15T14:42:46+00:00
r058,4,no,,2026-09-15T14:42:49+00:00
r059,1,yes,,2026-09-15T14:42:50+00:00
r060,3,no,,2026-09-15T14:42:53+00:00
