conv_id,intent,should_escalate,escalation_reason,unsure,notes,labelled_at
123472,feature_feedback,no,none,False,,2026-09-15T14:43:49+00:00
133935,thanks_resolved,no,none,False,,2026-09-15T14:45:07+00:00
500933,thanks_resolved,no,none,False,,2026-09-15T14:45:12+00:00
2961989,account_access,yes,privacy_legal,False,,2026-09-15T14:45:47+00:00
565413,account_security,yes,account_security,False,,2026-09-15T14:46:17+00:00
669353,playback_technical,yes,needs_investigation,False,,2026-09-15T14:46:21+00:00
2864071,playback_technical,no,none,False,,2026-09-15T14:46:28+00:00
2913930,playback_technical,no,none,False,,2026-09-15T14:46:30+00:00
2848290,feature_feedback,no,none,False,,2026-09-15T14:46:32+00:00
620370,thanks_resolved,no,none,False,,2026-09-15T14:46:35+00:00
2920615,billing_subscription,yes,high_frustration,False,,2026-09-15T14:46:38+00:00
93867,playback_technical,no,none,False,,2026-09-15T14:46:41+00:00
2869,content_catalog,no,none,False,,2026-09-15T14:46:45+00:00
492382,playback_technical,no,none,False,,2026-09-15T14:46:46+00:00
2848344,billing_subscription,no,none,False,,2026-09-15T14:46:50+00:00
689585,feature_feedback,no,none,False,,2026-09-15T14:46:51+00:00
2925991,feature_feedback,no,none,False,,2026-09-15T14:46:53+00:00
2933218,feature_feedback,no,none,False,,2026-09-15T14:47:54+00:00
2133712,billing_subscription,yes,needs_investigation,False,,2026-09-15T14:48:01+00:00
2545282,content_catalog,yes,needs_investigation,False,,2026-09-15T14:48:05+00:00
2916636,playback_technical,no,none,False,,2026-09-15T14:48:08+00:00
77699,billing_subscription,no,none,False,,2026-09-15T14:48:10+00:00
2219849,content_catalog,yes,needs_investigation,False,,2026-09-15T14:48:14+00:00
2603339,billing_subscription,no,none,False,,2026-09-15T14:48:17+00:00
1843933,feature_feedback,no,none,False,,2026-09-15T14:48:18+00:00
25413,billing_subscription,no,none,False,,2026-09-15T14:48:22+00:00
481118,thanks_resolved,no,none,False,,2026-09-15T14:48:27+00:00
568966,playback_technical,yes,needs_investigation,False,,2026-09-15T14:48:31+00:00
381245,billing_subscription,no,none,False,,2026-09-15T14:48:33+00:00
79453,billing_subscription,no,none,False,,2026-09-15T14:48:34+00:00
